No,CASHTAG,NAME,PRICE,CLOSE,CHG,%CHG,VOLUME,HIGH,LOW,BUY (QTY),SELL (QTY)
116,$AIZO,AIZO GROUP,0.080,0.08,0.000,0.000%,61000,0.08,0.08,0.075 (14185800),0.080 (3260500)
117,$AJIN,AJINOMOTO MSIA,12.940,12.94,0.000,0.000%,8700,12.96,12.94,12.920 (100),12.940 (2300)
118,$AJIY,AJIYA BHD,1.750,1.78,-0.030,-1.690%,1000,1.75,1.75,1.720 (500),1.750 (10000)
119,$ALSA,AL-SALAM REAL,0.420,0.42,0.000,0.000%,61700,0.42,0.42,0.415 (4500),0.420 (1100)
120,$AMMB,AMMB HLDGS BHD,5.180,5.09,0.080,1.570%,4270700,5.18,5.08,5.170 (231500),5.180 (146200)
121,$AMTH,AMTEL HOLDINGS,0.380,0.38,0.000,0.000%,3500,0.38,0.38,0.380 (7500),0.400 (5000)
122,$AMWA,AMWAY MALAYSIA,5.010,5.02,-0.010,-0.200%,13200,5.01,5.00,5.010 (8500),5.040 (10000)
123,$ANRE,ANALABS RESOURCE,1.700,1.70,0.000,0.000%,0,1.70,1.70,1.670 (20000),1.760 (25000)
124,$ANCO,ANCOM  LOG BHD,0.100,0.10,0.000,0.000%,332000,0.10,0.10,0.095 (277000),0.100 (202500)
125,$ANCM,ANCOM NYLEX,0.935,0.95,-0.020,-2.110%,477300,0.95,0.93,0.930 (122400),0.935 (74800)
126,$ANEK,ANEKA JARINGAN,0.135,0.13,0.005,3.850%,943000,0.14,0.13,0.135 (78000),0.140 (1157400)
127,$ANNJ,ANN JOO RESOURCE,0.675,0.67,0.005,0.750%,268500,0.69,0.67,0.665 (33200),0.670 (5000)
128,$APBS,APB RESOURCES,0.235,0.23,0.010,4.440%,4000,0.24,0.23,0.220 (2000),0.230 (13900)
129,$APES,APEX EQ HLD,0.900,0.90,0.000,0.000%,0,0.90,0.88,0.880 (800),0.900 (1000)
130,$AMMB,AMMB HLDGS BHD,5.180,5.09,0.080,1.570%,4270700,5.18,5.08,5.170 (231500),5.180 (146200)
131,$AMTH,AMTEL HOLDINGS,0.380,0.38,0.000,0.000%,3500,0.38,0.38,0.380 (7500),0.400 (5000)
132,$AMWA,AMWAY MALAYSIA,5.010,5.02,-0.010,-0.200%,13200,5.01,5.00,5.010 (8500),5.040 (10000)
133,$ANRE,ANALABS RESOURCE,1.700,1.70,0.000,0.000%,0,1.70,1.70,1.670 (20000),1.760 (25000)
134,$ANCO,ANCOM  LOG BHD,0.100,0.10,0.000,0.000%,332000,0.10,0.10,0.095 (277000),0.100 (202500)
135,$ANCM,ANCOM NYLEX,0.935,0.95,-0.020,-2.110%,477300,0.95,0.93,0.930 (122400),0.935 (74800)
136,$ANEK,ANEKA JARINGAN,0.135,0.13,0.005,3.850%,943000,0.14,0.13,0.135 (78000),0.140 (1157400)
137,$ANNJ,ANN JOO RESOURCE,0.675,0.67,0.005,0.750%,268500,0.69,0.67,0.665 (33200),0.670 (5000)
138,$APBS,APB RESOURCES,0.235,0.23,0.010,4.440%,4000,0.24,0.23,0.220 (2000),0.230 (13900)
139,$APES,APEX EQ HLD,0.900,0.90,0.000,0.000%,0,0.90,0.88,0.880 (800),0.900 (1000)
140,$AMMB,AMMB HLDGS BHD,5.180,5.09,0.080,1.570%,4270700,5.18,5.08,5.170 (231500),5.180 (146200)
141,$AMTH,AMTEL HOLDINGS,0.380,0.38,0.000,0.000%,3500,0.38,0.38,0.380 (7500),0.400 (5000)
142,$AMWA,AMWAY MALAYSIA,5.010,5.02,-0.010,-0.200%,13200,5.01,5.00,5.010 (8500),5.040 (10000)
143,$ANRE,ANALABS RESOURCE,1.700,1.70,0.000,0.000%,0,1.70,1.70,1.670 (20000),1.760 (25000)
144,$ANCO,ANCOM  LOG BHD,0.100,0.10,0.000,0.000%,332000,0.10,0.10,0.095 (277000),0.100 (202500)
145,$ANCM,ANCOM NYLEX,0.935,0.95,-0.020,-2.110%,477300,0.95,0.93,0.930 (122400),0.935 (74800)
146,$ANEK,ANEKA JARINGAN,0.135,0.13,0.005,3.850%,943000,0.14,0.13,0.135 (78000),0.140 (1157400)
147,$ANNJ,ANN JOO RESOURCE,0.675,0.67,0.005,0.750%,268500,0.69,0.67,0.665 (33200),0.670 (5000)
148,$APBS,APB RESOURCES,0.235,0.23,0.010,4.440%,4000,0.24,0.23,0.220 (2000),0.230 (13900)
149,$APES,APEX EQ HLD,0.900,0.90,0.000,0.000%,0,0.90,0.88,0.880 (800),0.900 (1000)
150,$AMMB,AMMB HLDGS BHD,5.180,5.09,0.080,1.570%,4270700,5.18,5.08,5.170 (231500),5.180 (146200)
151,$AMTH,AMTEL HOLDINGS,0.380,0.38,0.000,0.000%,3500,0.38,0.38,0.380 (7500),0.400 (5000)
152,$AMWA,AMWAY MALAYSIA,5.010,5.02,-0.010,-0.200%,13200,5.01,5.00,5.010 (8500),5.040 (10000)
153,$ANRE,ANALABS RESOURCE,1.700,1.70,0.000,0.000%,0,1.70,1.70,1.670 (20000),1.760 (25000)
154,$ANCO,ANCOM  LOG BHD,0.100,0.10,0.000,0.000%,332000,0.10,0.10,0.095 (277000),0.100 (202500)
155,$ANCM,ANCOM NYLEX,0.935,0.95,-0.020,-2.110%,477300,0.95,0.93,0.930 (122400),0.935 (74800)
156,$ANEK,ANEKA JARINGAN,0.135,0.13,0.005,3.850%,943000,0.14,0.13,0.135 (78000),0.140 (1157400)
157,$ANNJ,ANN JOO RESOURCE,0.675,0.67,0.005,0.750%,268500,0.69,0.67,0.665 (33200),0.670 (5000)
158,$APBS,APB RESOURCES,0.235,0.23,0.010,4.440%,4000,0.24,0.23,0.220 (2000),0.230 (13900)
159,$APES,APEX EQ HLD,0.900,0.90,0.000,0.000%,0,0.90,0.88,0.880 (800),0.900 (1000)
160,$AMMB,AMMB HLDGS BHD,5.180,5.09,0.080,1.570%,4270700,5.18,5.08,5.170 (231500),5.180 (146200)
161,$AMTH,AMTEL HOLDINGS,0.380,0.38,0.000,0.000%,3500,0.38,0.38,0.380 (7500),0.400 (5000)
162,$AMWA,AMWAY MALAYSIA,5.010,5.02,-0.010,-0.200%,13200,5.01,5.00,5.010 (8500),5.040 (10000)
163,$ANRE,ANALABS RESOURCE,1.700,1.70,0.000,0.000%,0,1.70,1.70,1.670 (20000),1.760 (25000)
164,$ANCO,ANCOM  LOG BHD,0.100,0.10,0.000,0.000%,332000,0.10,0.10,0.095 (277000),0.100 (202500)
165,$ANCM,ANCOM NYLEX,0.935,0.95,-0.020,-2.110%,477300,0.95,0.93,0.930 (122400),0.935 (74800)
166,$ANEK,ANEKA JARINGAN,0.135,0.13,0.005,3.850%,943000,0.14,0.13,0.135 (78000),0.140 (1157400)
167,$ANNJ,ANN JOO RESOURCE,0.675,0.67,0.005,0.750%,268500,0.69,0.67,0.665 (33200),0.670 (5000)
168,$APBS,APB RESOURCES,0.235,0.23,0.010,4.440%,4000,0.24,0.23,0.220 (2000),0.230 (13900)
169,$APES,APEX EQ HLD,0.900,0.90,0.000,0.000%,0,0.90,0.88,0.880 (800),0.900 (1000)
170,$AFCB,ASIA FILE CORP,1.360,1.36,0.000,0.000%,0,1.36,1.36,1.360 (13000),1.400 (4300)
171,$ASPY,ASIA POLY HLDGS,0.150,0.15,0.005,3.450%,1647300,0.15,0.14,0.145 (747800),0.150 (1617800)
172,$APHB,ASIAN PAC HLDGS,0.095,0.10,0.000,0.000%,93000,0.10,0.10,0.095 (394000),0.100 (773700)
173,$ASMA,ASM AUTOMATION,0.165,0.17,0.000,0.000%,625300,0.17,0.17,0.165 (10869700),0.170 (6642100)
174,$ASTE,ASTEEL GROUP,0.070,0.07,0.000,0.000%,35600,0.07,0.07,0.065 (253400),0.070 (69200)
175,$ATNO,ASTINO BHD,0.540,0.55,-0.010,-1.820%,45000,0.54,0.54,0.535 (71000),0.550 (10000)
176,$AASB,ASTRAL ASIA BHD,0.080,0.08,0.000,0.000%,0,0.08,0.08,0.080 (15000),0.090 (1700)
177,$ASTA,ASTRAMINA GROUP,0.500,0.50,0.000,0.000%,0,0.00,0.00,0.000 (0),0.500 (85000)
178,$ASTR,ASTRO MALAYSIA,0.150,0.15,0.000,0.000%,96100,0.15,0.15,0.145 (3209200),0.150 (3409900)
179,$ATLA,ATLAN HOLDINGS,2.490,2.50,-0.010,-0.400%,4900,2.50,2.49,2.380 (1000),2.490 (17800)
180,$AUMA,AUMAS RESOURCES,0.600,0.60,0.005,0.840%,2136200,0.61,0.59,0.600 (82500),0.605 (179600)
181,$AURE,AURELIUS TECHNO,1.110,1.08,0.010,0.930%,747700,1.11,1.08,1.090 (38200),1.100 (56800)
182,$AURH,AURO HOLDINGS,0.165,0.17,0.000,0.000%,3088800,0.17,0.16,0.160 (600900),0.165 (279900)
183,$AURO,AURORA ITALIA,0.220,0.22,0.000,0.000%,0,0.00,0.00,0.000 (0),0.000 (0)
184,$AUTC,AUTOCOUNT DOTCOM,1.090,1.06,0.030,2.830%,1582600,1.10,1.06,1.080 (286600),1.090 (100400)
185,$AUTR,AUTORIS GROUP HO,0.495,0.50,0.000,0.000%,0,0.00,0.00,0.000 (0),0.495 (600)
186,$AVAL,AVALAND,0.285,0.30,-0.010,-3.390%,397000,0.30,0.29,0.285 (40000),0.290 (123800)
187,$AVAG,AVANGAAD BERHAD,0.280,0.28,0.000,0.000%,4261900,0.29,0.28,0.275 (2835500),0.280 (462900)
188,$AVIL,AVILLION BERHAD,0.040,0.04,0.000,0.000%,1763900,0.04,0.04,0.040 (3517500),0.045 (8498400)
189,$AWAN,AWANBIRU TECHNO,0.300,0.31,-0.005,-1.640%,125500,0.31,0.30,0.295 (215500),0.300 (110300)
190,$AUMA,AUMAS RESOURCES,0.600,0.60,0.005,0.840%,2136200,0.61,0.59,0.600 (82500),0.605 (179600)
191,$AURE,AURELIUS TECHNO,1.110,1.08,0.010,0.930%,747700,1.11,1.08,1.090 (38200),1.100 (56800)
192,$AURH,AURO HOLDINGS,0.165,0.17,0.000,0.000%,3088800,0.17,0.16,0.160 (600900),0.165 (279900)
193,$AURO,AURORA ITALIA,0.220,0.22,0.000,0.000%,0,0.00,0.00,0.000 (0),0.000 (0)
194,$AUTC,AUTOCOUNT DOTCOM,1.090,1.06,0.030,2.830%,1582600,1.10,1.06,1.080 (286600),1.090 (100400)
195,$AUTR,AUTORIS GROUP HO,0.495,0.50,0.000,0.000%,0,0.00,0.00,0.000 (0),0.495 (600)
196,$AVAL,AVALAND,0.285,0.30,-0.010,-3.390%,397000,0.30,0.29,0.285 (40000),0.290 (123800)
197,$AVAG,AVANGAAD BERHAD,0.280,0.28,0.000,0.000%,4261900,0.29,0.28,0.275 (2835500),0.280 (462900)
198,$AVIL,AVILLION BERHAD,0.040,0.04,0.000,0.000%,1763900,0.04,0.04,0.040 (3517500),0.045 (8498400)
199,$AWAN,AWANBIRU TECHNO,0.300,0.31,-0.005,-1.640%,125500,0.31,0.30,0.295 (215500),0.300 (110300)
200,$AUMA,AUMAS RESOURCES,0.600,0.60,0.005,0.840%,2136200,0.61,0.59,0.600 (82500),0.605 (179600)
201,$AURE,AURELIUS TECHNO,1.110,1.08,0.010,0.930%,747700,1.11,1.08,1.090 (38200),1.100 (56800)
202,$AURH,AURO HOLDINGS,0.165,0.17,0.000,0.000%,3088800,0.17,0.16,0.160 (600900),0.165 (279900)
203,$AURO,AURORA ITALIA,0.220,0.22,0.000,0.000%,0,0.00,0.00,0.000 (0),0.000 (0)
204,$AUTC,AUTOCOUNT DOTCOM,1.090,1.06,0.030,2.830%,1582600,1.10,1.06,1.080 (286600),1.090 (100400)
205,$AUTR,AUTORIS GROUP HO,0.495,0.50,0.000,0.000%,0,0.00,0.00,0.000 (0),0.495 (600)
206,$AVAL,AVALAND,0.285,0.30,-0.010,-3.390%,397000,0.30,0.29,0.285 (40000),0.290 (123800)
207,$AVAG,AVANGAAD BERHAD,0.280,0.28,0.000,0.000%,4261900,0.29,0.28,0.275 (2835500),0.280 (462900)
208,$AVIL,AVILLION BERHAD,0.040,0.04,0.000,0.000%,1763900,0.04,0.04,0.040 (3517500),0.045 (8498400)
209,$AWAN,AWANBIRU TECHNO,0.300,0.31,-0.005,-1.640%,125500,0.31,0.30,0.295 (215500),0.300 (110300)
210,$BETA,BETAMEK BERHAD,0.400,0.40,0.005,1.270%,252300,0.41,0.40,0.395 (159000),0.405 (279300)
211,$BDBS,BINA DARULAMAN,0.230,0.23,0.000,0.000%,0,0.23,0.23,0.230 (47000),0.240 (5000)
